forecast_date,run_date,high_temp,low_temp,rain
2026-06-08,2026-06-08,87.0,78.0,61.5
2026-06-09,2026-06-08,81.1,75.1,18.5
2026-06-10,2026-06-08,75.8,72.3,87.4
2026-06-11,2026-06-08,82.0,71.3,11.2
2026-06-12,2026-06-08,80.3,72.0,5.4
2026-06-13,2026-06-08,83.7,69.0,30.0
2026-06-14,2026-06-08,77.6,74.1,25.5
2026-06-09,2026-06-09,78.4,74.4,51.2
2026-06-10,2026-06-09,77.4,73.2,23.7
2026-06-11,2026-06-09,82.0,71.4,10.0
2026-06-12,2026-06-09,78.7,72.6,49.2
2026-06-13,2026-06-09,81.2,73.5,19.5
2026-06-14,2026-06-09,84.1,74.3,6.0
2026-06-15,2026-06-09,80.5,75.7,20.7
2026-06-10,2026-06-10,76.2,73.0,19.6
2026-06-11,2026-06-10,82.0,72.1,1.3
2026-06-12,2026-06-10,85.6,71.9,15.9
2026-06-13,2026-06-10,86.1,74.4,16.8
2026-06-14,2026-06-10,87.2,74.9,0.9
2026-06-15,2026-06-10,82.9,76.3,14.4
2026-06-16,2026-06-10,82.8,75.7,7.8
2026-06-11,2026-06-11,80.1,72.4,1.2
2026-06-12,2026-06-11,83.2,73.1,28.1
2026-06-13,2026-06-11,83.4,73.1,20.2
2026-06-14,2026-06-11,86.2,74.6,1.5
2026-06-15,2026-06-11,82.9,77.5,2.7
2026-06-16,2026-06-11,87.3,76.0,0.6
2026-06-17,2026-06-11,84.4,76.7,0.0
2026-06-12,2026-06-12,81.1,73.3,4.9
2026-06-13,2026-06-12,85.3,73.6,6.2
2026-06-14,2026-06-12,82.9,75.4,3.3
2026-06-15,2026-06-12,87.5,76.8,11.6
2026-06-16,2026-06-12,80.2,77.0,7.2
2026-06-17,2026-06-12,90.4,76.6,1.8
2026-06-18,2026-06-12,89.2,76.8,3.6
2026-06-13,2026-06-13,87.2,73.0,1.9
2026-06-14,2026-06-13,82.1,74.4,7.6
2026-06-15,2026-06-13,79.8,75.2,17.7
2026-06-16,2026-06-13,82.0,75.5,6.2
2026-06-17,2026-06-13,83.4,76.0,0.0
2026-06-18,2026-06-13,89.8,76.5,2.1
2026-06-19,2026-06-13,89.6,76.3,7.8
2026-06-14,2026-06-14,81.1,74.2,15.9
2026-06-15,2026-06-14,87.2,74.8,13.9
2026-06-16,2026-06-14,86.2,76.1,1.2
2026-06-17,2026-06-14,89.3,75.3,1.2
2026-06-18,2026-06-14,89.9,76.9,2.1
2026-06-19,2026-06-14,91.1,75.0,2.1
2026-06-20,2026-06-14,91.9,77.0,0.0
2026-06-15,2026-06-15,82.5,75.4,14.9
2026-06-16,2026-06-15,83.3,75.5,16.0
2026-06-17,2026-06-15,84.4,74.3,0.0
2026-06-18,2026-06-15,87.9,76.5,0.0
2026-06-19,2026-06-15,91.0,74.7,3.6
2026-06-20,2026-06-15,91.8,74.1,0.0
2026-06-21,2026-06-15,91.9,76.7,0.0
2026-06-16,2026-06-16,88.3,75.1,1.8
2026-06-17,2026-06-16,86.5,76.2,10.5
2026-06-18,2026-06-16,90.4,77.0,1.3
2026-06-19,2026-06-16,93.0,75.7,2.4
2026-06-20,2026-06-16,92.1,75.0,0.0
2026-06-21,2026-06-16,92.3,77.2,0.0
2026-06-22,2026-06-16,90.9,76.4,0.0
