date,high,low,rain
6/7/2026,88.3,76.6,9.7
6/8/2026,87.4,77.9,34.5
6/9/2026,81.2,74.2,34.1
6/10/2026,76.7,72.9,16.1
6/11/2026,78.6,72.3,11.6
6/12/2026,82.1,72.5,18.6
6/13/2026,87.2,73.0,2.4
6/14/2026,82.3,74.2,11.8
6/15/2026,86.2,75.4,2.9
6/16/2026,90.5,75.1,6.8
6/17/2026,90.2,75.7,8.0
6/18/2026,91.0,77.4,4.5
6/19/2026,92.5,75.4,1.1
6/20/2026,91.6,76.3,0.0
6/21/2026,95.3,74.5,0.0
6/22/2026,94.7,77.8,0.0
6/23/2026,93.6,76.6,0.0
2026-06-24,93.7,76.6,0.4
2026-06-25,87.6,77.4,41.1
2026-06-26,85.4,76.9,64.9
2026-06-27,87.6,77.3,23.5
2026-06-28,89.0,76.9,7.8
2026-06-29,93.5,77.8,2.0
2026-06-30,93.5,78.4,0.9
2026-07-01,92.8,78.9,2.2
